component--field-formatter href,provide-styling src,Name,component--field-formatter 3,component--field-formatter 4,component--field-formatter 5,component--field-formatter href 2,component--field-formatter 6,component--field-formatter 7,accent,accent href,accent 2,accent href 2,accent 3,accent href 3,component--field-formatter 8,accent 4,accent href 4,accent 5,accent href 5,accent 6,accent href 6,component--field-formatter 9,component--field-formatter 10,component--field-formatter href 3,email,ng-star-inserted 3,component--field-formatter 11,component--field-formatter href 4,component--field-formatter 12,component--field-formatter href 5,component--field-formatter 13,component--field-formatter href 6,component--field-formatter 14,component--field-formatter href 7,accent 7,accent href 7,ng-star-inserted 4,ng-star-inserted 5,accent 8,accent href 8,accent 9,accent href 9,accent 10,accent href 10
https://www.crunchbase.com/organization/thumzup-media,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/thpqe9inuakmtqkze6mw",Thumzup Media,—,—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/thumzup-media,"Thumzup Media Corporation (Thumzup) is democratizing the multi-billion dollar social media branding and marketing industry. Its flagship product, the Thumzup platform, utilizes a robust programmatic advertiser dashboard coupled with a consumer-facing App to enable individuals to get paid cash for posting about participating advertisers on major social media outlets through the Thumzup App. The easy-to-use dashboard allows advertisers to programmatically customize their campaigns. Cash payments are made to App users/creators through Venmo and PayPal.

Thumzup is a is a publicly traded company (OTCQB stock ticker: TZUP).  For more information, please visit https://www.thumzupmedia.com",",,",Apps,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/apps,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,Media and Entertainment,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/media-and-entertainment,",,",Los Angeles,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/los-angeles-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,"Thumzup Media is an app that connects brands, products, and services with targeted consumers.",445,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/445,info@thumzupmedia.com,(800)-403-6150,View on LinkedIn,https://www.linkedin.com/company/thumzup-media-corporation,View on Facebook,https://www.facebook.com/thumzupmedia,www.thumzupmedia.com,https://www.thumzupmedia.com/,View on Twitter,https://twitter.com/thumz_up,,,,,,,,,,
https://www.crunchbase.com/organization/bluejay-diagnostics,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ocxvxunieqfacodpkpaq",Bluejay Diagnostics,"Finance, Management, Medical & Science, Operations, Pro Services, Sales",—,1-10,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bluejay-diagnostics,"Bluejay Diagnostics, Inc. develops, manufactures and markets easy-to-use, point-of-care medical diagnostics tests. The company offers multiple FDA-Cleared non-invasive, affordable products, including the Allereye® Tear Total IgE Test used to aid in the diagnosis of allergic conjunctivitis, and a urine-based HIV-1 screening test and a HIV-1 confirmatory test. Bluejay, headquartered in Acton, Massachusetts, continues to leverage its innovate, proprietary platform to develop new products for underserved diagnostic markets.",",,,",Manufacturing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/manufacturing,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,Medical,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/medical,",,",Acton,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/acton-massachusetts,Massachusetts,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/massachusetts-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,Bluejay Diagnostics is a manufacturing company,809,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/809,Contact@BluejayDX.com,978.631.4884,View on LinkedIn,https://www.linkedin.com/company/bluejay-diagnostics,,,bluejaydx.com,http://bluejaydx.com/,,,Medical Device,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/medical-device,—,—,,,,,,
https://www.crunchbase.com/organization/supio,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/b1e5e350bef342aeb293cd3303860fcc",Supio,"Management, Pro Services, Support",—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/supio,Supio is a dependable and precise AI that assists attorneys in obtaining the vital information they require to secure greater settlements for their customers.An engaging AI chatbot to help clients receive the care they require by identifying undiagnosed or untreated symptoms.,",,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,Software Engineering,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software-engineering,",,",Seattle,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/seattle-washington,Washington,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/washington-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,Supio is an accurate and dependable AI that assists attorneys in finding crucial information.,865,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/865,support@supio.com.,206-558-6175,View on LinkedIn,https://www.linkedin.com/company/supio/,View on Facebook,https://www.facebook.com/supioai,www.supio.com/,https://www.supio.com/,View on Twitter,https://x.com/supioai,,,,,,,,,,
https://www.crunchbase.com/organization/reo-dev,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qyw9vurlecazmyhv4acn",Reo.Dev,"Management, Product, Sales",—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/reo-dev,"Reo.Dev is a modern growth stack for developer focused companies. Reo.Dev tracks developer activity across your multiple platforms like Github repos, Docker, Technical Docs, Slack and more and discovers hidden sales opportunities and accounts that are ready to buy from your today.",",,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Developer Tools,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/developer-tools,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,",,",San Francisco,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/san-francisco-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,Reo.Dev is a modern growth stack for developer focused companies.,"1,830",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/1830,contact@reo.dev,#ERROR!,View on LinkedIn,https://www.linkedin.com/company/reo-dev/,,,www.reo.dev/,https://www.reo.dev/,,,Sales Automation,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/sales-automation,—,—,,,,,,
https://www.crunchbase.com/organization/onar,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/1afba4e624544d808ffc8da615284b3f",ONAR,—,—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/onar,"ONAR is a bold and ambitious network of specialized marketing companies dedicated to turning brand aspirations into measurable achievements. 
The firms we purchase are in the capable hands of those who plan the road for success using our significant knowledge as a compass.",",",Advertising,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/advertising-6cb6,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,,,",,",Miami,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/miami-florida,Florida,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/florida-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,ONAR is establishing a network of marketing champions driven by a common goal of excellence.,"2,072",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/2072,team@onar.com,213-437-3081,View on LinkedIn,https://www.linkedin.com/company/builtwithonar/,View on Facebook,https://www.facebook.com/builtwithonar,www.onar.com/,https://www.onar.com/,View on Twitter,https://x.com/builtwithonar,,,,,,,,,,
https://www.crunchbase.com/organization/vertiqal-studios,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/1d0ea5b4763e431786d22e040944b89a",Vertiqal Studios,"Management, Sales",—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/vertiqal-studios,"Vertiqal Studios is a digital media company specializing in the production and distribution of short-form video content across social platforms. The company offers services including content creation, creator marketing, brand channel management, and bespoke activations such as livestreams and in-game events. Vertiqal Studios collaborates with brands and agencies to develop and distribute marketing campaigns targeting Gen Z and Millennial audiences.",",,",Advertising,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/advertising-6cb6,Brand Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/brand-marketing,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,",,",Toronto,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/toronto-ontario,Ontario,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/ontario-canada,Canada,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/canada,Vertiqal Studios is a digital strategy and distribution holding company specializing in viral video creation and distribution services.,"2,100",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/2100,info@vertiqalstudios.com,—,View on LinkedIn,https://www.linkedin.com/company/vertiqalstudios/about/,,,www.vertiqalstudios.com,https://www.vertiqalstudios.com/,,,,,—,—,,,,,,
https://www.crunchbase.com/organization/revenueroll,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fed1283508d147b1b0062884f8608b96",Tie,"Information Technology, Management",—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/revenueroll,"Tie is the first real-time B2C enrichment platform for the modern marketer. Use age, gender, and more to tailor experiences for anonymous visitors, subscribers, and paid audiences—boosting engagement and campaign conversions.",",,,,",Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/analytics,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,",,",Miami,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/miami-florida,Florida,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/florida-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,"Tie empowers B2C marketers to de-anonymize visitors, and personalize every touchpoint—from website to email.","2,160",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/2160,info@meettie.com,631-456-0625,View on LinkedIn,https://www.linkedin.com/company/meettie,,,meettie.com,https://meettie.com/,View on Twitter,https://x.com/meet_tie,SaaS,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/saas-5c4e,—,,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,,,,
https://www.crunchbase.com/organization/bluefish-labs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/92d0b98d7bd840c28d340f1d91cc44c6",Bluefish Labs,—,—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bluefish-labs,—,",,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,",,",New York,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/new-york-new-york,New York,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/new-york-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,Bluefish helps brands turn AI into a powerful new marketing channel to reach consumers and tell their story online.,"2,226",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/2226,—,—,View on LinkedIn,https://www.linkedin.com/company/bluefish-ai/,,,www.bluefishai.com/,https://www.bluefishai.com/,View on Twitter,https://x.com/Bluefish_AI,,,—,,,,,,,
https://www.crunchbase.com/organization/artificial-societies,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/93c0305fb87047d0a64c4ed0e4d5d56f",Artificial Societies,—,—,1-10,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/artificial-societies,—,",,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Content,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/content,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,",,",London,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england,England,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/england-united-kingdom,United Kingdom,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-kingdom,Artificial Societies specializes in simulation of user database to test and reframe content and marketing strategies in pre-launch stage.,"2,300",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/2300,founders@societies.io,—,View on LinkedIn,https://www.linkedin.com/company/artificial-societies/,,,societies.io/,https://societies.io/,View on Twitter,https://x.com/societiesio,Simulation,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/simulation,—,,,,,,,
https://www.crunchbase.com/organization/asset-entities,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zpsheh3r2qyrvn49jevc",Asset Entities,Management,—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/asset-entities,"Asset Entities is a multi-media marketing company that helps brands set up their Discord Community.

Founded in 2020, Asset Entities' vision is to spread life-changing financial literacy and in the process build a massive community of like-minded educated individuals where opportunities are continuously presented in every part of life.",",,",Communities,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/communities,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,",,",Dallas,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/dallas-texas,Texas,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/texas-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,Asset Entities is a multi-media marketing company that helps brands set up their Discord Community.,"2,910",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/2910,—,214-459-3117,View on LinkedIn,https://www.linkedin.com/company/assetentities/,,,assetentities.com/,https://assetentities.com/,,,,,—,—,,,,,,
https://www.crunchbase.com/organization/landbase-2194,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/853d28ac3b9a4cce9923798a92cee6e6",Landbase,Information Technology,—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/landbase-2194,"Landbase offers an AI platform that streamlines go-to-market strategies for sales teams. The platform integrates artificial intelligence with human insights to automate various sales processes. Facilitating data-driven decision-making helps sales representatives identify potential leads and enhance their outreach efforts. Landbase also provides tools that analyze market trends and customer behavior, enabling teams to tailor their approaches effectively. This comprehensive solution aims to improve overall sales performance and efficiency in competitive environments.",",,,,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,Marketing Automation,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-automation,",,",San Francisco,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/san-francisco-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,"Landbase is an AI-driven platform that helps businesses automate outreach, sales efficiency, and scale go-to-market efforts.","3,009",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/3009,Social@landbase.com,—,View on LinkedIn,https://www.linkedin.com/company/landbase,,,www.landbase.com,https://www.landbase.com/,View on Twitter,https://x.com/LandbaseAI,Sales,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/sales,—,,Sales Automation,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/sales-automation,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,,
https://www.crunchbase.com/organization/final-offer,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/hhnyadcqdmcdemrag5mb",Final Offer,"Management, Marketing, Product, Sales",—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/final-offer,"Final Offer is a platform for top real estate agents to provide a more transparent offer and negotiating process.

The company was founded in 2021 and is based in Hingham, Massachusetts.",",,,",Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,Real Estate,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/real-estate,",,",Hingham,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/hingham-massachusetts,Massachusetts,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/massachusetts-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,Final Offer is a platform for real estate agents to provide transparent offer and negotiating process.,"3,262",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/3262,—,#ERROR!,View on LinkedIn,https://www.linkedin.com/company/final-offer/,View on Facebook,https://www.facebook.com/p/Final-Offer-100078747864258/,www.finaloffer.com/,https://www.finaloffer.com/,View on Twitter,https://twitter.com/FinalOfferNow,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,,,,,,,,
https://www.crunchbase.com/organization/adpipe,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wfhkhfodcssesvocuwtd",Adpipe,"Engineering, Management",—,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/adpipe,"Adpipe is a motion-first marketing platform that personalizes, humanizes, and localizes existing customers' brands. Its platform repackages and repurposes existing content into custom, bite-sized content like gifs, graphics, and soundbites for any channel to help marketers monitor and amplify their reach while generating better revenue.

The company was founded in 2021 and is headquartered in Athens, Georgia.",",,,,",Marketing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketing-2795,Online Forums,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/online-forums,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,",,",Athens,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/athens-georgia,Georgia,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/georgia-united-states,United States,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/united-states,"Adpipe is a motion-first marketing platform that personalizes, humanizes, and localizes existing customers' brands.","3,333",https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/3333,admin@adpipe.com,—,View on LinkedIn,https://www.linkedin.com/company/tryadpipe/,,,adpipe.com/,https://adpipe.com/,,,Video Advertising,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/video-advertising,—,—,Video Editing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/video-editing,,,,
